"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Abilene Christian",69.6458,224,70.1429,223,96.5896,243,101.925,190,106.479,215,103.273,182,-1.3474,196
"2024","Air Force",62.9917,343,62.3995,362,101.959,183,100.797,223,103.288,177,102.056,153,-1.25872,194
"2024","Akron",68.3875,254,68.5108,286,111.826,87,106.299,98,94.2237,90,98.3884,81,7.9106,85
"2024","Alabama",71.5792,168,72.8366,82,144.148,1,118.785,3,91.9304,73,92.4749,22,26.3102,5
"2024","Alabama A&M",74.4625,65,71.2844,169,89.9782,290,91.727,347,111.465,256,107.567,300,-15.8403,340
"2024","Alabama St.",72.7438,123,71.8055,140,86.518,304,91.3865,351,114.267,277,108.722,319,-17.3358,347
"2024","Albany",76.075,33,71.3265,168,98.0544,225,97.171,287,109.586,244,107.654,301,-10.4829,302
"2024","Alcorn St.",70.5375,202,69.4131,251,101.764,185,101.648,204,136.963,355,110.322,342,-8.67415,277
"2024","American",66.2167,302,68.159,299,99.492,211,97.6126,277,111.991,261,107.397,291,-9.78469,293
"2024","Appalachian St.",72.0493,146,71.6364,151,97.8637,227,102.259,181,112.919,269,102.578,165,-0.319779,180
"2024","Arizona",78.45,9,77.1191,2,126.16,16,116.279,9,81.4006,17,90.6416,9,25.637,6
"2024","Arizona St.",70.9875,185,70.3584,213,83.7459,316,101.776,197,87.1668,39,94.4653,43,7.31048,89
"2024","Arkansas",73.7958,85,73.9921,47,120.113,38,113.617,20,92.5219,78,93.1688,26,20.4484,15
"2024","Arkansas Pine Bluff",76.7562,21,76.7044,3,106.801,128,96.9969,293,120.01,323,111.219,348,-14.2225,328
"2024","Arkansas St.",73.3208,104,71.6892,148,115.358,67,106.647,89,122.39,333,107.484,294,-0.837683,190
"2024","Army",66.0292,305,67.6695,315,82.2036,326,90.8404,353,100.886,149,104.795,220,-13.9548,325
"2024","Auburn",75.2438,47,73.5044,65,111.714,88,113.324,23,105.496,200,93.6866,34,19.6372,21
"2024","Austin Peay",62.8125,344,68.9394,271,71.6418,353,99.6949,246,106.667,216,104.353,209,-4.65825,228
"2024","Ball St.",69.7375,223,71.5449,156,104.678,155,101.861,194,97.5085,122,105.681,239,-3.82052,215
"2024","Baylor",72.3042,133,71.4442,164,122.767,29,116.852,5,94.2884,91,92.9567,24,23.8949,10
"2024","Bellarmine",70.9292,187,68.3246,295,92.4374,271,101.754,198,115.345,289,107.353,290,-5.59847,238
"2024","Belmont",79.2875,5,76.6455,4,104.366,161,105.445,112,117.174,308,105.833,243,-0.387694,182
"2024","Bethune Cookman",69.6375,225,71.4728,162,86.1605,307,91.8464,346,114.881,285,109.343,328,-17.4965,349
"2024","Binghamton",71.0125,183,72.2568,115,85.3439,309,96.1046,304,113.07,272,106.016,254,-9.91124,296
"2024","Boise St.",67.3125,286,69.4711,249,93.5933,265,108.081,70,86.1653,34,96.3808,56,11.7001,58
"2024","Boston College",70.2,207,69.0465,268,116.686,61,106.364,95,100.98,152,102.716,169,3.64751,125
"2024","Boston University",68.2958,257,68.918,272,76.1599,347,90.6347,354,97.7103,126,103.453,186,-12.818,318
"2024","Bowling Green",71.3125,175,72.7151,88,100.044,203,99.9921,237,91.6334,69,102.558,163,-2.56547,202
"2024","Bradley",67.7912,271,66.5937,343,105.657,142,104.519,135,90.8737,64,96.0368,53,8.48168,80
"2024","Brown",71.5528,169,70.5401,202,93.5556,266,96.7623,299,103.514,182,102.528,162,-5.76561,240
"2024","Bryant",71,184,72.5385,96,81.7114,331,97.3098,283,89.4109,51,102.915,175,-5.60559,239
"2024","Bucknell",67.0188,289,69.8338,237,92.932,269,93.7242,331,108.378,231,108.778,322,-15.0536,334
"2024","Buffalo",73.425,100,72.3929,103,95.8203,251,97.3871,281,109.814,246,107.855,305,-10.4679,300
"2024","Butler",75.0417,54,73.2209,71,118.202,50,105.742,108,70.1408,5,94.9275,49,10.8148,63
"2024","BYU",75.7312,40,71.9375,133,120.405,36,111.801,27,85.0259,28,93.5871,33,18.2141,27
"2024","Cal Baptist",64.95,332,67.4865,325,123.172,27,103.002,162,101.617,163,102.677,167,0.325036,167
"2024","Cal Poly",72.85,120,71.2524,172,97.3994,232,91.4622,350,121.374,328,108.881,325,-17.419,348
"2024","Cal St. Bakersfield",66.825,290,67.6078,320,97.6317,229,97.0521,291,119.565,321,107.904,306,-10.8522,306
"2024","Cal St. Fullerton",76.425,28,71.5726,155,74.5829,351,99.9174,240,108.603,233,100.907,128,-0.989891,192
"2024","Cal St. Northridge",73.1625,112,73.3956,69,104.546,158,97.0808,290,102.074,167,106.546,270,-9.46524,289
"2024","California",66.4667,294,69.0878,264,116.988,56,106.165,102,108.103,230,105.688,240,0.477141,165
"2024","Campbell",63.0625,342,65.9092,349,97.032,237,96.7864,298,97.9384,127,106.732,275,-9.94598,298
"2024","Canisius",69.4437,231,70.1138,225,105.834,140,100.611,226,112.297,263,105.432,234,-4.8217,230
"2024","Central Arkansas",72.3688,131,71.2306,173,92.9468,268,94.6453,325,106.903,218,109.59,333,-14.9443,333
"2024","Central Connecticut",71.375,173,69.5774,241,98.1074,223,96.9752,295,108.71,234,108.762,320,-11.7869,311
"2024","Central Michigan",70.8667,191,70.7014,195,89.5309,295,95.3249,320,120.603,327,110.407,343,-15.0816,335
"2024","Charleston",74.9313,56,74.7324,29,95.489,253,104.607,134,105.769,205,102.059,154,2.54832,136
"2024","Charleston Southern",68.3,256,69.6024,240,102.489,176,95.5335,315,118.594,313,109.578,332,-14.0441,326
"2024","Charlotte",60.675,353,64.0183,355,105.428,144,101.791,196,102.999,173,102.409,157,-0.618149,188
"2024","Chattanooga",70.6125,199,70.7685,193,108.337,113,103.667,149,95.6311,106,103.438,185,0.228787,170
"2024","Chicago St.",69.0219,241,67.9179,310,88.211,302,93.3332,333,100.517,147,108.856,324,-15.5233,336
"2024","Cincinnati",73.5583,95,71.9356,134,111.856,86,107.173,79,86.8792,37,93.5136,31,13.6595,51
"2024","Clemson",67.7583,273,69.3029,256,109.659,105,110.014,46,96.8622,115,96.0686,54,13.9451,49
"2024","Cleveland St.",68.2063,260,68.2764,297,116.876,57,106.367,94,115.237,288,104.972,226,1.39498,151
"2024","Coastal Carolina",0,358,72.2649,113,0,358,101.179,214,200,358,107.545,297,-6.36538,242
"2024","Colgate",73.6438,90,72.5611,95,99.8108,208,105.143,121,101.076,154,103.565,189,1.57788,148
"2024","Colorado",70.65,198,72.3222,109,129.575,7,114.826,14,93.5128,84,94.6028,45,20.2232,18
"2024","Colorado St.",73.4875,96,72.4837,98,121.743,34,112.792,25,97.01,117,99.9592,107,12.8329,54
"2024","Columbia",75.8562,38,75.4309,18,88.5217,300,97.1511,288,102.854,171,106,252,-8.84871,283
"2024","Connecticut",70.7583,194,71.0849,183,135.958,3,116.682,6,80.7611,15,90.0675,7,26.6141,4
"2024","Coppin St.",68.2208,258,72.3777,104,80.22,333,88.0157,361,118.659,314,110.889,346,-22.8735,360
"2024","Cornell",76.2562,30,74.584,32,106.298,134,107.274,78,99.1004,136,103.468,187,3.80545,123
"2024","Creighton",69.5708,227,69.872,233,137.555,2,117.008,4,94.201,89,93.3397,29,23.6683,11
"2024","Dartmouth",69.2562,235,69.5041,246,73.754,352,95.5208,316,125.104,339,108.21,310,-12.6894,317
"2024","Davidson",63.7062,338,66.7529,340,101.244,188,104.71,132,101.227,159,100.105,109,4.60533,111
"2024","Dayton",59.8,355,64.7733,354,108.062,115,107.974,71,99.439,139,97.6226,68,10.3519,67
"2024","Delaware",63.325,340,68.6968,279,113.029,82,104.778,130,90.9444,65,103.532,188,1.24588,152
"2024","Delaware St.",75.3125,46,73.1058,75,69.0887,355,91.6763,348,109.567,243,106.362,263,-14.6856,330
"2024","Denver",73.1937,110,72.6422,91,125.659,19,103.859,145,116.891,305,112.595,356,-8.73593,279
"2024","DePaul",71.9125,151,69.122,260,101.815,184,102.387,178,101.078,155,101.937,151,0.44992,166
"2024","Detroit Mercy",69.0375,240,70.3586,212,92.6436,270,100.758,224,123.553,338,111.321,351,-10.5631,303
"2024","Drake",72.15,140,70.8174,190,117.81,53,107.153,81,97.0201,118,97.6323,69,9.52051,75
"2024","Drexel",66.1083,304,67.5216,323,100.47,198,102.739,169,103.456,180,100.565,119,2.17317,139
"2024","Duke",70.8292,193,69.8648,234,113.161,79,115.152,12,92.3105,75,91.9555,17,23.1965,12
"2024","Duquesne",71.8417,157,72.3765,105,118.02,51,108.4,66,98.4382,129,99.1679,96,9.23254,77
"2024","East Carolina",67.7625,272,71.6698,149,113.632,78,104.249,139,92.9718,79,101.248,134,3.00122,131
"2024","East Tennessee St.",72.925,119,71.2194,174,84.2041,314,96.2056,301,109.716,245,105.265,230,-9.05912,285
"2024","Eastern Illinois",70.1813,209,71.4365,165,83.438,317,92.201,345,120.464,325,108.266,311,-16.0648,342
"2024","Eastern Kentucky",0,358,74.1468,43,0,358,105.394,115,200,358,102.796,171,2.59792,135
"2024","Eastern Michigan",68.5917,247,68.8407,274,88.9228,296,96.1964,302,123.406,337,109.508,331,-13.3116,324
"2024","Eastern Washington",75.3542,45,75.1056,22,89.8993,293,103.116,158,115.073,286,104.394,211,-1.27832,195
"2024","Elon",73.2875,107,71.9056,135,102.254,178,97.0167,292,119.027,317,111.786,353,-14.7695,332
